LON,LAT,PGA-DD1,PGA-DD2,PGA-DD3,PGA-DD4,Ss-DD1,Ss-DD2,Ss-DD3,Ss-DD4,S1-DD1,S1-DD2,S1-DD3,S1-DD4,PGV-DD4,PGV-DD3,PGV-DD2,PGV-DD1
24.55,39.95,1.32,0.716,0.218,0.138,3.273,1.714,0.501,0.317,0.878,0.437,0.121,0.076,7.596,12.321,44.717,83.452
24.55,40.05,0.906,0.516,0.19,0.127,2.291,1.246,0.439,0.297,0.617,0.324,0.111,0.074,7.324,11.01,31.6,57.991
24.55,40.15,0.835,0.448,0.168,0.117,2.1,1.091,0.398,0.275,0.574,0.293,0.105,0.072,6.897,10.118,28.146,53.509
24.55,40.25,0.736,0.397,0.155,0.11,1.851,0.961,0.363,0.255,0.502,0.261,0.098,0.068,6.505,9.299,24.54,46.518
24.55,40.35,0.741,0.386,0.147,0.103,1.845,0.931,0.342,0.236,0.476,0.244,0.092,0.064,6.099,8.724,23.049,44.843
24.65,39.75,0.654,0.386,0.16,0.114,1.637,0.924,0.373,0.265,0.471,0.257,0.099,0.069,6.707,9.559,23.999,42.787
24.65,39.85,0.882,0.508,0.189,0.128,2.226,1.223,0.437,0.298,0.621,0.324,0.109,0.074,7.282,10.885,31.68,57.479
24.65,39.95,1.139,0.614,0.212,0.137,2.825,1.472,0.487,0.314,0.767,0.383,0.119,0.076,7.567,11.967,45.1,85.698
24.65,40.05,1.149,0.621,0.205,0.135,2.854,1.489,0.47,0.311,0.765,0.383,0.116,0.076,7.558,11.643,38.564,72.733
24.65,40.15,0.87,0.486,0.185,0.127,2.2,1.179,0.431,0.297,0.597,0.311,0.11,0.075,7.377,10.81,30.074,55.756
24.65,40.25,0.788,0.425,0.166,0.116,1.983,1.037,0.393,0.274,0.544,0.28,0.103,0.071,6.814,9.882,26.491,50.273
24.65,40.35,0.783,0.412,0.155,0.107,1.952,0.997,0.363,0.246,0.506,0.259,0.096,0.066,6.278,9.147,24.56,47.362
24.65,40.45,0.755,0.383,0.136,0.09,1.883,0.926,0.318,0.211,0.489,0.243,0.089,0.061,5.651,8.287,23.053,46.213
24.65,40.55,0.697,0.346,0.117,0.077,1.737,0.838,0.278,0.178,0.454,0.224,0.082,0.057,5.152,7.577,21.128,42.966
24.75,39.65,0.527,0.295,0.126,0.093,1.299,0.705,0.295,0.216,0.383,0.211,0.087,0.063,5.859,8.024,19.02,34.584
24.75,39.75,0.582,0.334,0.145,0.105,1.442,0.805,0.331,0.24,0.422,0.231,0.093,0.067,6.316,8.762,21.273,38.19
24.75,39.85,0.696,0.405,0.165,0.117,1.727,0.966,0.387,0.275,0.497,0.268,0.102,0.071,6.899,9.861,25.109,45.119
24.75,39.95,0.915,0.517,0.191,0.13,2.293,1.239,0.44,0.302,0.644,0.33,0.111,0.075,7.424,10.978,32.391,59.759
24.75,40.05,1.207,0.64,0.207,0.138,2.977,1.528,0.473,0.317,0.851,0.407,0.117,0.077,7.664,11.704,41.047,80.035
24.75,40.15,0.953,0.529,0.198,0.135,2.391,1.271,0.455,0.313,0.653,0.336,0.114,0.077,7.602,11.293,32.786,61.307
24.75,40.25,0.837,0.458,0.18,0.125,2.115,1.12,0.423,0.295,0.586,0.3,0.108,0.074,7.248,10.561,28.7,54.375
24.75,40.35,0.817,0.435,0.164,0.111,2.052,1.061,0.388,0.259,0.538,0.275,0.101,0.068,6.511,9.652,26.212,50.068
24.75,40.45,0.786,0.403,0.143,0.093,1.961,0.973,0.332,0.216,0.511,0.254,0.092,0.062,5.77,8.592,24.192,48.129
24.75,40.55,0.725,0.363,0.122,0.079,1.805,0.877,0.29,0.182,0.471,0.232,0.084,0.058,5.264,7.784,22.001,44.522
24.75,40.65,0.656,0.323,0.108,0.069,1.633,0.781,0.25,0.159,0.428,0.212,0.078,0.054,4.76,7.079,19.794,40.486
24.85,39.55,0.538,0.286,0.115,0.084,1.321,0.679,0.267,0.196,0.368,0.199,0.082,0.06,5.518,7.517,18.161,34.065
24.85,39.65,0.545,0.293,0.121,0.088,1.338,0.699,0.284,0.207,0.384,0.208,0.085,0.062,5.717,7.822,18.939,35.264
24.85,39.75,0.567,0.314,0.132,0.097,1.398,0.754,0.307,0.223,0.408,0.222,0.09,0.065,6.039,8.325,20.357,37.158
24.85,39.85,0.598,0.345,0.15,0.109,1.485,0.831,0.344,0.25,0.437,0.24,0.097,0.069,6.527,9.08,22.048,39.543
24.85,39.95,0.718,0.416,0.172,0.123,1.779,0.996,0.404,0.289,0.518,0.279,0.106,0.074,7.203,10.287,26.1,46.949
24.85,40.05,0.945,0.526,0.199,0.138,2.353,1.256,0.455,0.316,0.672,0.34,0.114,0.077,7.679,11.322,33.227,62.469
24.85,40.15,1.016,0.558,0.206,0.142,2.514,1.329,0.473,0.325,0.717,0.359,0.118,0.078,7.805,11.69,35.188,66.54
24.85,40.25,0.832,0.472,0.191,0.132,2.11,1.155,0.443,0.307,0.593,0.312,0.112,0.076,7.49,10.999,29.798,54.458
24.85,40.35,0.833,0.449,0.171,0.115,2.097,1.099,0.405,0.27,0.559,0.288,0.105,0.071,6.702,10.094,27.411,51.812
24.85,40.45,0.807,0.418,0.15,0.097,2.022,1.015,0.348,0.225,0.529,0.264,0.095,0.064,5.925,8.927,25.198,49.669
24.85,40.55,0.753,0.38,0.128,0.082,1.875,0.918,0.302,0.19,0.489,0.241,0.087,0.059,5.375,8.032,22.915,46.126
24.85,40.65,0.684,0.338,0.112,0.072,1.702,0.818,0.262,0.164,0.444,0.219,0.08,0.055,4.876,7.344,20.644,42.026
24.85,40.75,0.611,0.298,0.099,0.063,1.521,0.714,0.228,0.147,0.4,0.199,0.075,0.052,4.476,6.594,18.315,37.596
24.95,39.35,0.61,0.307,0.113,0.081,1.506,0.731,0.262,0.189,0.389,0.199,0.079,0.058,5.334,7.213,18.726,37.549
24.95,39.45,0.707,0.323,0.113,0.081,1.703,0.766,0.261,0.188,0.453,0.21,0.081,0.059,5.388,7.333,20.034,44.849
24.95,39.55,0.61,0.307,0.114,0.083,1.499,0.729,0.265,0.192,0.399,0.207,0.082,0.06,5.489,7.502,19.346,38.25
24.95,39.65,0.615,0.311,0.119,0.086,1.512,0.741,0.278,0.203,0.415,0.214,0.085,0.062,5.653,7.763,19.95,39.619
24.95,39.75,0.652,0.33,0.127,0.093,1.594,0.787,0.297,0.215,0.439,0.227,0.089,0.064,5.899,8.158,21.292,41.895
24.95,39.85,0.576,0.325,0.141,0.104,1.427,0.785,0.323,0.235,0.421,0.231,0.094,0.068,6.275,8.684,21.175,38.176
24.95,39.95,0.637,0.372,0.162,0.118,1.583,0.891,0.379,0.278,0.466,0.256,0.104,0.074,7.032,9.789,23.565,42.131
24.95,40.05,0.781,0.452,0.191,0.137,1.943,1.099,0.441,0.314,0.571,0.304,0.112,0.078,7.679,11.028,28.884,51.718
24.95,40.15,1.013,0.567,0.212,0.147,2.527,1.357,0.489,0.336,0.734,0.37,0.121,0.08,7.981,12.015,36.321,67.764
24.95,40.25,0.861,0.498,0.203,0.14,2.193,1.215,0.466,0.321,0.628,0.331,0.116,0.078,7.684,11.452,31.661,57.375
24.95,40.35,0.837,0.461,0.181,0.123,2.111,1.129,0.425,0.29,0.568,0.297,0.109,0.074,7.012,10.543,28.299,52.298
24.95,40.45,0.826,0.433,0.158,0.104,2.075,1.056,0.372,0.24,0.544,0.274,0.1,0.066,6.163,9.344,26.139,50.937
24.95,40.55,0.78,0.398,0.137,0.087,1.943,0.959,0.318,0.203,0.505,0.25,0.09,0.061,5.529,8.325,23.828,47.631
24.95,40.65,0.712,0.355,0.117,0.075,1.772,0.857,0.278,0.171,0.46,0.227,0.082,0.056,5.021,7.566,21.476,43.595
24.95,40.75,0.637,0.312,0.104,0.066,1.586,0.753,0.238,0.151,0.415,0.206,0.076,0.053,4.577,6.806,19.086,39.233
24.95,40.85,0.565,0.271,0.09,0.059,1.392,0.649,0.21,0.135,0.37,0.185,0.071,0.049,4.249,6.182,16.896,34.611
24.95,40.95,0.498,0.237,0.08,0.054,1.228,0.567,0.185,0.122,0.334,0.17,0.066,0.046,4.008,5.725,15.232,30.906
25.05,39.15,0.689,0.342,0.123,0.088,1.672,0.811,0.287,0.206,0.415,0.203,0.079,0.058,5.417,7.375,19.799,41.355
25.05,39.25,0.602,0.312,0.117,0.084,1.486,0.745,0.273,0.197,0.377,0.195,0.079,0.058,5.369,7.265,18.518,36.507
25.05,39.35,0.591,0.302,0.114,0.082,1.455,0.719,0.264,0.191,0.378,0.195,0.079,0.058,5.363,7.244,18.285,36.234
25.05,39.45,0.607,0.306,0.113,0.082,1.494,0.727,0.261,0.189,0.391,0.201,0.08,0.059,5.396,7.327,18.865,37.713
